iter	Passed	Remaining
0	154	154520
1	156	77930
2	157	52307
3	159	39672
4	161	32077
5	163	27021
6	164	23349
7	165	20564
8	166	18386
9	168	16638
10	169	15212
11	175	14429
12	176	13422
13	178	12547
14	179	11788
15	180	11123
16	182	10535
17	183	10011
18	186	9626
19	188	9225
20	189	8838
21	190	8476
22	191	8147
23	192	7844
24	193	7565
25	195	7309
26	196	7072
27	197	6849
28	198	6641
29	202	6557
30	204	6401
31	207	6265
32	208	6116
33	210	5978
34	211	5839
35	213	5708
36	217	5661
37	219	5557
38	220	5445
39	222	5338
40	223	5232
41	224	5131
42	226	5034
43	227	4945
44	231	4919
45	233	4842
46	234	4755
47	235	4674
48	236	4597
49	237	4521
50	239	4448
51	240	4377
52	241	4309
53	242	4243
54	246	4235
55	247	4178
56	249	4132
57	251	4081
58	252	4028
59	253	3973
60	254	3923
61	255	3872
62	257	3823
63	262	3840
64	264	3799
65	265	3753
66	266	3707
67	267	3663
68	268	3623
69	269	3582
70	270	3542
71	271	3503
72	275	3504
73	278	3480
74	279	3446
75	280	3413
76	282	3380
77	283	3349
78	284	3320
79	286	3289
80	290	3300
81	292	3275
82	293	3241
83	295	3218
84	297	3200
85	298	3171
86	299	3144
87	300	3118
88	302	3092
89	306	3096
90	308	3082
91	310	3062
92	311	3038
93	312	3016
94	313	2991
95	315	2966
96	316	2941
97	317	2918
98	320	2916
99	322	2902
100	323	2882
101	324	2861
102	326	2839
103	327	2820
104	328	2801
105	329	2781
106	331	2763
107	332	2744
108	336	2751
109	338	2736
110	340	2723
111	341	2707
112	343	2694
113	344	2677
114	345	2660
115	346	2642
116	347	2625
117	354	2648
118	355	2634
119	357	2618
120	358	2602
121	359	2584
122	360	2567
123	361	2551
124	362	2535
125	365	2531
126	366	2521
127	368	2511
128	370	2501
129	371	2488
130	373	2475
131	374	2462
132	375	2450
133	377	2438
134	383	2457
135	385	2450
136	387	2440
137	389	2431
138	390	2418
139	391	2405
140	392	2393
141	396	2396
142	399	2395
143	401	2384
144	403	2377
145	405	2369
146	406	2358
147	407	2346
148	411	2348
149	413	2342
150	415	2334
151	416	2326
152	418	2315
153	419	2303
154	420	2291
155	421	2280
156	422	2270
157	426	2274
158	428	2265
159	430	2257
160	431	2246
161	432	2238
162	434	2229
163	435	2221
164	436	2211
165	438	2202
166	443	2211
167	445	2206
168	446	2197
169	447	2187
170	449	2177
171	450	2167
172	451	2157
173	452	2147
174	453	2138
175	458	2145
176	460	2139
177	461	2131
178	463	2123
179	464	2115
180	465	2107
181	467	2100
182	471	2102
183	474	2102
184	477	2101
185	479	2098
186	481	2091
187	486	2099
188	488	2096
189	490	2089
190	491	2081
191	492	2073
192	494	2065
193	495	2060
194	499	2063
195	502	2060
196	503	2053
197	505	2045
198	519	2091
199	521	2086
200	523	2081
201	525	2076
202	527	2069
203	533	2081
204	536	2078
205	537	2073
206	539	2065
207	540	2058
208	542	2051
209	543	2044
210	547	2048
211	554	2061
212	556	2056
213	558	2050
214	559	2044
215	562	2042
216	565	2039
217	567	2034
218	568	2028
219	570	2024
220	576	2031
221	578	2026
222	579	2020
223	581	2014
224	584	2011
225	585	2005
226	589	2007
227	591	2001
228	593	1998
229	595	1993
230	597	1988
231	600	1988
232	606	1996
233	608	1992
234	610	1988
235	612	1983
236	614	1979
237	620	1988
238	624	1987
239	625	1982
240	627	1976
241	628	1969
242	630	1963
243	633	1961
244	636	1961
245	638	1956
246	640	1953
