iter	Passed	Remaining
0	1	112
1	1	96
2	2	89
3	3	81
4	4	80
5	5	78
6	5	77
7	6	76
8	7	75
9	8	76
10	9	76
11	10	76
12	11	75
13	12	75
14	13	75
15	14	74
16	15	73
17	15	72
18	16	71
19	17	69
20	18	68
21	19	67
22	19	66
23	20	65
24	21	64
25	22	63
26	23	62
27	24	62
28	25	61
29	26	60
30	26	60
31	28	59
32	29	58
33	29	57
34	30	56
35	31	55
36	32	54
37	33	54
38	33	52
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	38	46
45	39	46
46	40	45
47	41	44
48	41	43
49	42	42
50	43	42
51	44	41
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	34
59	51	34
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	24
71	61	24
72	62	23
73	63	22
74	64	21
75	65	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	13
85	74	12
86	75	11
87	76	10
88	77	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	82	3
96	83	2
97	84	1
98	85	0
99	86	0
